"*";"base";"ian";"s";"anian";"ians"
"tn_Al_Khanafah";"阿卡漢納法";"阿卡漢納法人";"阿卡漢納法的";"一個阿卡漢納法人";"阿卡漢納法人"
"tn_Al_Maqhrus";"阿爾馬卡魯斯";"阿爾馬卡魯斯人";"阿爾馬卡魯斯的";"一個阿爾馬卡魯斯人";"阿爾馬卡魯斯人"
"tn_Al_Maqqah";"阿爾馬卡哈";"阿爾馬卡哈人";"阿爾馬卡哈的";"一個阿爾馬卡哈人";"阿爾馬卡哈人"
"tn_Al_Qasr";"阿喀斯爾";"阿喀斯爾人";"阿喀斯爾的";"一個阿喀斯爾人";"阿喀斯爾人"
"tn_Al_Wahran";"阿爾瓦赫蘭";"阿爾瓦赫蘭人";"阿爾瓦赫蘭的";"一個阿爾瓦赫蘭人";"阿爾瓦赫蘭人"
"tn_Alania";"阿蘭尼亞";"阿蘭人";"阿蘭尼亞的";"一個阿蘭人";"阿蘭人"
"tn_Alboran_Sea";"阿爾沃蘭海";"";"";"";""
"tn_Aleppo";"阿勒頗";"阿勒頗人";"阿勒頗的";"一個阿勒頗人";"阿勒頗人"
"tn_Alexandria";"亞歷山大";"亞歷山大人";"亞歷山大的";"一個亞歷山大人";"亞歷山大人"
"tn_Algarve";"阿爾加維";"阿爾加維人";"阿爾加維的";"一個阿爾加維人";"阿爾加維人"
"tn_Algiers";"阿爾及爾";"阿爾及爾人";"阿爾及爾的";"一個阿爾及爾人";"阿爾及爾人"
"tn_Almohads";"穆瓦希德";"穆瓦希德人";"穆瓦希德的";"一個穆瓦希德人";"穆瓦希德"
"tn_Almoravids";"阿爾摩拉維德";"阿爾摩拉維德人";"阿爾摩拉維德的";"一個阿爾摩拉維德人";"阿爾摩拉維德"
"tn_Alodia";"阿洛迪亞";"阿洛迪亞人";"阿洛迪亞的";"一個阿洛迪亞人";"阿洛迪亞人"
"tn_Alsace";"阿爾薩斯";"阿爾薩斯人";"阿爾薩斯的";"一個阿爾薩斯人";"阿爾薩斯人"
"tn_Amasya";"阿馬西亞";"阿馬西亞人";"阿馬西亞的";"一個阿馬西亞人";"阿馬西亞人"
"tn_Andalucia";"安達盧西亞";"安達盧西亞人";"安達盧西亞的";"一個安達盧西亞人";"安達盧西亞人"
"tn_Angers";"安茹";"安茹人";"安茹的";"一個安茹人";"安茹人"
"tn_Ani";"阿尼";"阿尼人";"阿尼的";"一個阿尼人";"阿尼人"
"tn_Anjou";"安茹";"安茹人";"安茹的";"一個安茹人";"安茹人"
"tn_Ankara";"安卡拉";"安卡拉人";"安卡拉的";"一個安卡拉人";"安卡拉人"
"tn_Anslo";"盎格魯";"盎格魯人";"盎格魯的";"一個盎格魯人";"盎格魯人"
"tn_Antalya";"安塔利亞";"安塔利亞人";"安塔利亞的";"一個安塔利亞人";"安塔利亞人"
"tn_Antioch";"安條克";"安條克人";"安條克的";"一個安條克人";"安條克人"
"tn_Apulia";"阿普利亞";"阿普利亞人";"阿普利亞的";"一個阿普利亞人";"阿普利亞人"
"tn_Aqaba";"亞喀巴";"亞喀巴人";"亞喀巴的";"一個亞喀巴人";"亞喀巴人"
"tn_Aquitaine";"阿基坦";"阿基坦人";"阿基坦的";"一個阿基坦人";"阿基坦人"
"tn_Aragon";"阿拉貢";"阿拉貢人";"阿拉貢的";"一個阿拉貢人";"阿拉貢人"
"tn_Arensburg";"庫雷薩雷";"庫雷薩雷人";"庫雷薩雷的";"一個庫雷薩雷人";"庫雷薩雷人"
"tn_Armagh";"阿爾馬";"阿爾馬人";"阿爾馬的";"一個阿爾馬人";"阿爾馬人"
"tn_Armenia";"亞美尼亞";"亞美尼亞人";"亞美尼亞的";"一個亞美尼亞人";"亞美尼亞人"
"tn_Arta";"阿爾塔";"阿爾塔人";"阿爾塔的";"一個阿爾塔人";"阿爾塔人"
"tn_Artuqids";"阿爾圖格";"阿爾圖格人";"阿爾圖格的";"一個阿爾圖格人";"阿爾圖格"
"tn_Ascalon";"亞實基倫";"亞實基倫人";"亞實基倫的";"一個亞實基倫人";"亞實基倫人"
"tn_Asrir";"阿瑟里";"阿瑟里人";"阿瑟里的";"一個阿瑟里人";"阿瑟里人"
"tn_Assode";"阿松德";"阿松德人";"阿松德的";"一個阿松德人";"阿松德人"
"tn_Astrakhan";"阿斯特拉罕";"阿斯特拉罕人";"阿斯特拉罕的";"一個阿斯特拉罕人";"阿斯特拉罕人"
"tn_Asturia";"阿斯圖里亞斯";"阿斯圖里亞斯人";"阿斯圖里亞斯的";"一個阿斯圖里亞斯人";"阿斯圖里亞斯人"
"tn_Athens";"雅典";"雅典人";"雅典的";"一個雅典人";"雅典人"
"tn_Attica";"阿提卡";"阿提卡人";"阿提卡的";"一個阿提卡人";"阿提卡人"
"tn_Augsburg";"奧格斯堡";"奧格斯堡人";"奧格斯堡的";"一個奧格斯堡人";"奧格斯堡人"
"tn_Austria";"奧地利";"奧地利人";"奧地利的";"一個奧地利人";"奧地利人"
"tn_Auvergne";"奧弗涅";"奧弗涅人";"奧弗涅的";"一個奧弗涅人";"奧弗涅人"
"tn_Aydhab";"阿依扎布";"阿依扎布人";"阿依扎布的";"一個阿依扎布人";"阿依扎布人"
"tn_Aydin";"艾登";"艾登人";"艾登的";"一個艾登人";"艾登人"
"tn_Ayyubids";"阿尤布";"阿尤布人";"阿尤布的";"一個阿尤布人";"阿尤布"
"tn_Bacs";"巴克斯";"巴克斯人";"巴克斯的";"一個巴克斯人";"巴克斯人"
"tn_Badajoz";"巴達霍斯";"巴達霍斯人";"巴達霍斯的";"一個巴達霍斯人";"巴達霍斯人"
"tn_Baghdad";"巴格達";"巴格達人";"巴格達的";"一個巴格達人";"巴格達人"
"tn_Balearic_Sea";"巴利阿里海";"";"";"";""
"tn_Baltic_Sea";"波羅的海";"";"";"";""
"tn_Banat";"巴納特";"巴納特人";"巴納特的";"一個巴納特人";"巴納特人"
"tn_Baranya";"巴蘭尼亞";"巴蘭尼亞人";"巴蘭尼亞的";"一個巴蘭尼亞人";"巴蘭尼亞人"
"tn_Barcelona";"巴塞羅那";"巴塞羅那人";"巴塞羅那的";"一個巴塞羅那人";"巴塞羅那人"
"tn_Bari";"巴里";"巴里人";"巴里的";"一個巴里人";"巴里人"
"tn_Basra";"巴士拉";"巴士拉人";"巴士拉的";"一個巴士拉人";"巴士拉人"
"tn_Bavaria";"巴伐利亞";"巴伐利亞人";"巴伐利亞的";"一個巴伐利亞人";"巴伐利亞人"
"tn_Bay_Of_Biscay";"比斯開灣";"";"";"";""
"tn_Bdin";"布丁";"布丁人";"布丁的";"一個布丁人";"布丁人"
"tn_Bejaia";"貝賈亞";"貝賈亞人";"貝賈亞的";"一個貝賈亞人";"貝賈亞人"
"tn_Belgorod";"別爾哥羅德";"別爾哥羅德人";"別爾哥羅德的";"一個別爾哥羅德人";"別爾哥羅德人"
"tn_Belgrade";"貝爾格萊德";"貝爾格萊德人";"貝爾格萊德的";"一個貝爾格萊德人";"貝爾格萊德人"
"tn_Benghazi";"班加西";"班加西人";"班加西的";"一個班加西人";"班加西人"
"tn_Berestia";"貝萊斯塔";"貝萊斯塔人";"貝萊斯塔的";"一個貝萊斯塔人";"貝萊斯塔人"
"tn_Berestye";"佈列斯特";"貝萊斯塔人";"佈列斯特人";"一個貝萊斯塔人";"貝萊斯塔人"
"tn_Bergen";"卑爾根";"卑爾根人";"卑爾根的";"一個卑爾根人";"卑爾根人"
"tn_Bern";"伯爾尼";"伯爾尼人";"伯爾尼的";"一個伯爾尼人";"伯爾尼人"
"tn_Bessarabia";"比薩拉比亞";"比薩拉比亞人";"比薩拉比亞的";"一個比薩拉比亞人";"比薩拉比亞人"
"tn_Bilma";"比爾馬";"比爾馬人";"比爾馬的";"一個比爾馬人";"比爾馬人"
"tn_Bohemia";"波希米亞";"波希米亞人";"波希米亞的";"一個波希米亞人";"波希米亞人"
"tn_Bolghar";"保加爾";"保加爾人";"保加爾的";"一個保加爾人";"保加爾人"
"tn_Bologna";"博洛尼亞";"博洛尼亞人";"博洛尼亞的";"一個博洛尼亞人";"博洛尼亞人"
"tn_Bordeaux";"波爾多";"波爾多人";"波爾多的";"一個波爾多人";"波爾多人"
"tn_Bosnia";"波士尼亞";"波士尼亞人";"波士尼亞的";"一個波士尼亞人";"波士尼亞人"
"tn_Botnia";"波特尼亞";"波特尼亞人";"波特尼亞的";"一個波特尼亞人";"波特尼亞人"
"tn_Botnic_And_Finnish_Gulf";"波提尼與芬蘭灣";"";"";"";""
"tn_Brandenburg";"勃蘭登堡";"勃蘭登堡人";"勃蘭登堡的";"一個勃蘭登堡人";"勃蘭登堡人"
"tn_Branichevo";"布蘭尼切沃";"布蘭尼切沃人";"布蘭尼切沃的";"一個布蘭尼切沃人";"布蘭尼切沃人"
"tn_Bratslav";"布拉茨拉夫";"布拉茨拉夫人";"布拉茨拉夫的";"一個布拉茨拉夫人";"布拉茨拉夫人"
"tn_Bremen";"不來梅";"不來梅人";"不來梅的";"一個不來梅人";"不來梅人"
"tn_Brittany";"布列塔尼";"布列塔尼人";"布列塔尼的";"一個布列塔尼人";"布列塔尼人"
"tn_Brno";"布爾諾";"布爾諾人";"布爾諾的";"一個布爾諾人";"布爾諾人"
"tn_Bruges";"布魯日";"布魯日人";"布魯日的";"一個布魯日人";"布魯日人"
"tn_Brussels";"布魯塞爾";"布魯塞爾人";"布魯塞爾的";"一個布魯塞爾人";"布魯塞爾人"
"tn_Buda";"布達";"布達人";"布達的";"一個布達人";"布達人"
"tn_Bulgaria";"保加利亞";"保加利亞人";"保加利亞的";"一個保加利亞人";"保加利亞人"
"tn_BulgarianEmpire";"保加利亞";"保加利亞人";"保加利亞的";"一個保加利亞人";"保加利亞人"
"tn_Burgos";"布爾戈斯";"布爾戈斯人";"布爾戈斯的";"一個布爾戈斯人";"布爾戈斯人"
"tn_Burgundy";"勃艮第";"勃艮第人";"勃艮第的";"一個勃艮第人";"勃艮第人"
"tn_Bursa";"布爾薩";"布爾薩人";"布爾薩的";"一個布爾薩人";"布爾薩人"
"tn_Bushehr";"布什爾";"布什爾人";"布什爾的";"一個布什爾人";"布什爾人"
"tn_ByzantineEmpire";"拜占庭";"拜占庭人";"拜占庭的";"一個拜占庭人";"拜占庭人"
"tn_Byzantium";"拜占庭";"拜占庭人";"拜占庭的";"一個拜占庭人";"拜占庭人"
"tn_Caernarfon";"卡納芬";"卡納芬人";"卡納芬的";"一個卡納芬人";"卡納芬人"
"tn_Cagliari";"卡利亞里";"卡利亞里人";"卡利亞里的";"一個卡利亞里人";"卡利亞里人"
"tn_Cairo";"開羅";"開羅人";"開羅的";"一個開羅人";"開羅人"
"tn_Calabria";"卡拉布里亞";"卡拉布里亞人";"卡拉布里亞的";"一個卡拉布里亞人";"卡拉布里亞人"
"tn_Calais";"加萊";"加萊人";"加萊的";"一個加萊人";"加萊人"
"tn_Campania";"坎帕尼亞";"坎帕尼亞人";"坎帕尼亞的";"一個坎帕尼亞人";"坎帕尼亞人"
"tn_Candar";"詹達爾";"詹達爾人";"詹達爾的";"一個詹達爾人";"詹達爾人"
"tn_Candia";"乾地亞";"乾地亞人";"乾地亞的";"一個乾地亞人";"乾地亞人"
"tn_Canterbury";"坎特伯雷";"坎特伯雷人";"坎特伯雷的";"一個坎特伯雷人";"坎特伯雷人"
"tn_Cappadocia";"卡帕多西亞";"卡帕多西亞人";"卡帕多西亞的";"一個卡帕多西亞人";"卡帕多西亞人"
"tn_Cardiff";"卡迪夫";"卡迪夫人";"卡迪夫的";"一個卡迪夫人";"卡迪夫人"
"tn_Carinthia";"卡林西亞";"卡林西亞人";"卡林西亞的";"一個卡林西亞人";"卡林西亞人"
"tn_Castile";"卡斯蒂利亞";"卡斯蒂利亞人";"卡斯蒂利亞的";"一個卡斯蒂利亞人";"卡斯蒂利亞人"
"tn_Catalonia";"加泰隆尼亞";"加泰隆尼亞文化";"加泰隆尼亞的";"一個加泰隆尼亞人";"加泰隆尼亞人"
"tn_Central_Mediterranean";"地中海";"";"";"";""
"tn_Cetatea_Alba";"塞塔提阿爾巴";"阿爾巴人";"塞塔提阿爾巴的";"一個阿爾巴人";"阿爾巴人"
"tn_Chaldia";"查爾迪亞";"查爾迪亞人";"查爾迪亞的";"一個查爾迪亞人";"查爾迪亞人"
"tn_Champagne";"香檳";"香檳人";"香檳的";"一個香檳人";"香檳人"
"tn_Cherkasy";"切爾卡瑟";"切爾卡瑟人";"切爾卡瑟的";"一個切爾卡瑟人";"切爾卡瑟人"
"tn_Chernigov";"切爾尼戈夫";"切爾尼戈夫人";"切爾尼戈夫的";"一個切爾尼戈夫人";"切爾尼戈夫人"
"tn_Cherson";"赫爾松";"赫爾松人";"赫爾松的";"一個赫爾松人";"赫爾松人"
"tn_Chinguetti";"欣蓋提";"欣蓋提人";"欣蓋提的";"一個欣蓋提人";"欣蓋提人"
"tn_Cilicia";"奇里乞亞";"奇里乞亞人";"奇里乞亞的";"一個奇里乞亞人";"奇里乞亞人"
"tn_Cilician_Armenia";"奇里乞亞亞美尼亞";"奇里乞亞人";"奇里乞亞亞美尼亞的";"一個奇里乞亞人";"奇里乞亞人"
"tn_Cirta";"錫爾塔";"錫爾塔人";"錫爾塔的";"一個錫爾塔人";"錫爾塔人"
"tn_Clermont";"克萊蒙";"克萊蒙人";"克萊蒙的";"一個克萊蒙人";"克萊蒙人"
"tn_Cluj";"克魯日";"克魯日人";"克魯日的";"一個克魯日人";"克魯日人"
"tn_Cologne";"科隆";"科隆人";"科隆的";"一個科隆人";"科隆人"
"tn_Compostella";"孔波斯特拉";"孔波斯特拉人";"孔波斯特拉的";"一個孔波斯特拉人";"孔波斯特拉人"
"tn_Connaught";"康諾特";"康諾特人";"康諾特的";"一個康諾特人";"康諾特人"
"tn_Constantinople";"君士坦丁堡";"君士坦丁堡人";"君士坦丁堡的";"一個君士坦丁堡人";"君士坦丁堡人"
"tn_Constantinopolis";"君士坦丁波利斯";"君士坦丁波利斯人";"君士坦丁波利斯的";"一個君士坦丁波利斯人";"君士坦丁波利斯人"
"tn_Cordoba";"科爾多瓦";"科爾瓦多人";"科爾多瓦的";"一個科爾瓦多人";"科爾瓦多人"
"tn_Cork";"科克";"科克人";"科克的";"一個科克人";"科克人"
"tn_Cornwall";"康沃爾";"康沃爾人";"康沃爾的";"一個康沃爾人";"康沃爾人"
"tn_Corsica";"科西嘉";"科西嘉人";"科西嘉的";"一個科西嘉人";"科西嘉人"
"tn_Crete";"克里特島";"克里特島人";"克里特島的";"一個克里特島人";"克里特島人"
"tn_Crimea";"克里米亞";"克里米亞人";"克里米亞的";"一個克里米亞人";"克里米亞人"
"tn_Croatia";"克羅埃西亞";"克羅埃西亞人";"克羅埃西亞的";"一個克羅埃西亞人";"克羅埃西亞人"
"tn_Cumania";"庫曼";"庫曼人";"庫曼的";"一個庫曼人";"庫曼人"
"tn_Cyprus";"塞浦路斯";"塞浦路斯人";"塞浦路斯的";"一個塞浦路斯人";"塞浦路斯人"
"tn_Cyrenaica";"昔蘭尼加";"昔蘭尼加人";"昔蘭尼加的";"一個昔蘭尼加人";"昔蘭尼加人"
"tn_Dagestan";"達吉斯坦";"達吉斯坦人";"達吉斯坦的";"一個達吉斯坦人";"達吉斯坦人"
"tn_Daju";"達朱";"達朱人";"達朱的";"一個達朱人";"達朱人"
"tn_Dakhla";"達克拉";"達克拉人";"達克拉的";"一個達克拉人";"達克拉人"
"tn_Dalmatia";"達爾馬提亞";"達爾馬提亞人";"達爾馬提亞的";"一個達爾馬提亞人";"達爾馬提亞人"
"tn_Damascus";"大馬士革";"大馬士革人";"大馬士革的";"一個大馬士革人";"大馬士革人"
"tn_Damietta";"達米埃塔";"達米埃塔人";"達米埃塔的";"一個達米埃塔人";"達米埃塔人"
"tn_Danishmends";"達尼什曼德";"達尼什曼德人";"達尼什曼德的";"一個達尼什曼德人";"達尼什曼德"
"tn_Darfur";"達爾富爾";"達爾富爾人";"達爾富爾的";"一個達爾富爾人";"達爾富爾人"
"tn_Debrecen";"德布勒森";"德布勒森人";"德布勒森的";"一個德布勒森人";"德布勒森人"
"tn_Denmark";"丹麥";"丹麥人";"丹麥的";"一個丹麥人";"丹麥人"
"tn_Derbent";"傑爾賓特";"傑爾賓特人";"傑爾賓特的";"一個傑爾賓特人";"傑爾賓特人"
"tn_Devon";"德文";"德文人";"德文的";"一個德文人";"德文人"
"tn_Dijon";"第戎";"第戎人";"第戎的";"一個第戎人";"第戎人"
"tn_Dogger_Bank";"多格爾沙洲";"";"";"";""
"tn_Dongola";"棟古拉";"棟古拉人";"棟古拉的";"一個棟古拉人";"棟古拉人"
"tn_Dorpatt";"多爾帕特";"多爾帕特人";"多爾帕特的";"一個多爾帕特人";"多爾帕特人"
"tn_Draa";"達拉";"達拉人";"達拉的";"一個達拉人";"達拉人"
"tn_Dublin";"都柏林";"都柏林人";"都柏林的";"一個都柏林人";"都柏林人"
"tn_Dubrovnik";"杜布羅夫尼克";"杜布羅夫尼克人";"杜布羅夫尼克的";"一個杜布羅夫尼克人";"杜布羅夫尼克人"
"tn_Dulkadir";"杜爾卡迪爾";"杜爾卡迪爾人";"杜爾卡迪爾的";"一個杜爾卡迪爾人";"杜爾卡迪爾人"
"tn_Dumyat";"杜姆亞特";"杜姆亞特人";"杜姆亞特的";"一個杜姆亞特人";"杜姆亞特人"
"tn_Durres";"都拉斯";"都拉斯人";"都拉斯的";"一個都拉斯人";"都拉斯人"
"tn_Duwadimi";"杜瓦迪米";"杜瓦迪米人";"杜瓦迪米的";"一個杜瓦迪米人";"杜瓦迪米人"
"tn_Dyrrachion";"都拉奇翁";"都拉奇翁人";"都拉奇翁的";"一個都拉奇翁人";"都拉奇翁人"
"tn_East_Flanders";"東佛蘭德斯";"東佛蘭德人";"東佛蘭德斯的";"一個東佛蘭德人";"東佛蘭德人"
"tn_Eastern_Black_Sea";"黑海東岸";"";"";"";""
"tn_Edessa";"埃德薩";"埃德薩人";"埃德薩的";"一個埃德薩人";"埃德薩人"
"tn_Edinborough";"埃丁伯路";"埃丁伯路人";"埃丁伯路的";"一個埃丁伯路人";"埃丁伯路人"
"tn_Eesti";"愛沙尼亞";"愛沙尼亞人";"愛沙尼亞的";"一個愛沙尼亞人";"愛沙尼亞人"
"tn_El_Atrun";"埃爾奧特倫";"埃爾奧特倫人";"埃爾奧特倫的";"一個埃爾奧特倫人";"埃爾奧特倫人"
"tn_Emilia";"艾米利亞";"艾米利亞人";"艾米利亞的";"一個艾米利亞人";"艾米利亞人"
"tn_England";"英格蘭";"英格蘭人";"英格蘭的";"一個英格蘭人";"英格蘭人"
"tn_Epirus";"伊庇魯斯";"伊庇魯斯人";"伊庇魯斯的";"一個伊庇魯斯人";"伊庇魯斯人"
"tn_Eretna";"雷特納";"雷特納人";"雷特納的";"一個雷特納人";"雷特納人"
"tn_Erfurt";"埃爾福特";"埃爾福特人";"埃爾福特的";"一個埃爾福特人";"埃爾福特人"
"tn_Erzurum";"埃爾祖魯姆";"埃爾祖魯姆人";"埃爾祖魯姆的";"一個埃爾祖魯姆人";"埃爾祖魯姆人"
"tn_Essex";"埃塞克斯";"埃塞克斯人";"埃塞克斯的";"一個埃塞克斯人";"埃塞克斯人"
"tn_Estland";"愛沙尼亞";"愛沙尼亞人";"愛沙尼亞的";"一個愛沙尼亞人";"愛沙尼亞人"
"tn_Estremadura";"埃斯特雷馬杜拉";"埃斯特雷馬杜拉人";"埃斯特雷馬杜拉的";"一個埃斯特雷馬杜拉人";"埃斯特雷馬杜拉人"
"tn_Exeter";"埃克賽特";"埃克賽特人";"埃克賽特的";"一個埃克賽特人";"埃克賽特人"
"tn_Extremadura";"埃斯特馬杜拉";"埃斯特馬杜拉人";"埃斯特雷馬杜拉的";"一個埃斯特馬杜拉人";"埃斯特馬杜拉人"
"tn_Eztergom";"埃斯泰爾戈姆";"埃斯泰爾戈姆人";"埃斯泰爾戈姆的";"一個埃斯泰爾戈姆人";"埃斯泰爾戈姆人"
"tn_Falun";"法倫";"法倫人";"法倫的";"一個法倫人";"法倫人"
"tn_Faras";"法拉斯";"法拉斯人";"法拉斯的";"一個法拉斯人";"法拉斯人"
"tn_Faro";"法羅";"法羅人";"法羅的";"一個法羅人";"法羅人"
"tn_Farose_Reach";"法羅之境";"";"";"";""
"tn_Fatimids";"法蒂瑪";"法蒂瑪人";"法蒂瑪的";"一個法蒂瑪人";"法蒂瑪人"
"tn_Fez";"菲斯";"菲斯人";"菲斯的";"一個菲斯人";"菲斯人"
"tn_Fezzan";"費贊";"費贊人";"費讚的";"一個費贊人";"費贊人"
"tn_Finland";"芬蘭";"芬蘭人";"芬蘭的";"一個芬蘭人";"芬蘭人"
"tn_Finns";"芬蘭人";"芬蘭人";"芬蘭的";"一個芬蘭人";"芬蘭人"
"tn_Flanders";"佛蘭德斯";"佛蘭德人";"佛蘭德斯的";"一個佛蘭德人";"佛蘭德人"
"tn_Florence";"佛羅倫薩";"佛羅倫薩人";"佛羅倫薩的";"一個佛羅倫薩人";"佛羅倫薩人"
"tn_France";"法蘭西";"法蘭西人";"法蘭西的";"一個法蘭西人";"法蘭西人"
"tn_Franconia";"法蘭克尼亞";"法蘭克尼亞人";"法蘭克尼亞人的";"一個法蘭克尼亞人";"法蘭克尼亞人"
"tn_Friesland";"弗里斯蘭";"弗里斯蘭人";"弗里斯蘭的";"弗里斯蘭人";"弗里斯蘭人"
"tn_Galicia";"加利西亞";"加利西亞人";"加利西亞的";"一個加利西亞人";"加利西亞人"
"tn_Galitch";"加利奇";"加利奇人";"加利奇的";"一個加利奇人";"加利奇人"
"tn_Galitch_Mer";"加利奇-梅爾";"加利奇人";"加利奇-梅爾的";"一個加利奇人";"加利奇人"
"tn_Galway";"高威";"高威人";"高威的";"一個高威人";"高威人"
"tn_Gdansk";"格但斯克";"格但斯克人";"格但斯克的";"一個格但斯克人";"格但斯克人"
"tn_Genoa";"熱那亞";"熱那亞人";"熱那亞的";"一個熱那亞人";"熱那亞人"
"tn_Georgia";"格魯吉亞";"格魯吉亞人";"格魯吉亞的";"一個格魯吉亞人";"格魯吉亞人"
"tn_Germany";"德意志";"德意志人";"德意志的";"一個德意志人";"德意志人"
"tn_Germiyan";"格爾米揚";"格爾米揚人";"格爾米揚的";"一個格爾米揚人";"格爾米揚人"
"tn_Ghadames";"加達米斯";"加達米斯人";"加達米斯的";"一個加達米斯人";"加達米斯人"
"tn_Ghat";"加特";"加特人";"加特的";"一個加特人";"加特人"
"tn_Ghent";"根特";"根特人";"根特的";"一個根特人";"根特人"
"tn_Gilan";"吉蘭";"吉蘭人";"吉蘭的";"一個吉蘭人";"吉蘭人"
"tn_Glamorgan";"格拉摩根";"格拉摩根人";"格拉摩根的";"一個格拉摩根人";"格拉摩根人"
"tn_Golden_Horde";"金帳汗國";"金帳汗國";"金帳汗國的";"金帳汗國";"金帳汗國"
"tn_Gothenburg";"哥德堡";"哥德堡人";"哥德堡的";"一個哥德堡人";"哥德堡人"
"tn_Gotland";"哥特蘭";"哥特蘭人";"哥特蘭的";"一個哥特蘭人";"哥特蘭人"
"tn_Granada";"格拉納達";"格拉納達人";"格拉納達的";"一個格拉納達人";"格拉納達人"
"tn_Great_Perm";"大彼爾姆";"大彼爾姆人";"大彼爾姆的";"一個大彼爾姆人";"大彼爾姆人"
"tn_Grodno";"格羅德諾";"格羅德諾人";"格羅德諾的";"一個格羅德諾人";"格羅德諾人"
"tn_Gulf_Of_Hormuz";"霍爾木茲灣";"";"";"";""
"tn_Gulf_Of_Liguria";"利古里亞灣";"";"";"";""
"tn_Gwynedd";"格溫內思";"格溫內思人";"格溫內思的";"一個格溫內思人";"格溫內思人"
"tn_Haapsalu";"哈普薩盧";"哈普薩盧人";"哈普薩盧的";"一個哈普薩盧人";"哈普薩盧人"
"tn_Hafsids";"哈夫斯";"哈夫斯人";"哈夫斯的";"一個哈夫斯人";"哈夫斯人"
"tn_Hajdusag";"豪伊杜";"豪伊杜人";"豪伊杜的";"一個豪伊杜人";"豪伊杜人"
"tn_Hajrah";"哈季拉";"哈季拉人";"哈季拉的";"一個哈季拉人";"哈季拉人"
"tn_Halland";"哈蘭";"哈蘭人";"哈蘭的";"一個哈蘭人";"哈蘭人"
"tn_Halych";"哈利奇";"哈利奇人";"哈利奇的";"一個哈利奇人";"哈利奇人"
"tn_Halych_Volhynia";"加利奇-沃里尼亞";"加利奇-沃里尼亞人";"加利奇-沃里尼亞的";"一個加利奇-沃里尼亞人";"加利奇-沃里尼亞人"
"tn_Halychyna";"哈利奇納";"哈利奇納人";"哈利奇納的";"一個哈利奇納人";"哈利奇納人"
"tn_Hamburg";"漢堡";"漢堡人";"漢堡的";"一個漢堡人";"漢堡人"
"tn_Hampshire";"漢普郡";"漢普郡人";"漢普郡的";"一個漢普郡人";"漢普郡人"
"tn_Hanover";"漢諾威";"漢諾威人";"漢諾威的";"一個漢諾威人";"漢諾威人"
"tn_Hayastan";"哈亞斯坦";"哈亞斯坦人";"哈亞斯坦的";"一個哈亞斯坦人";"哈亞斯坦人"
