"*";"base";"s"
"cn_Agilwardus.m";"阿吉爾瓦杜斯";""
"cn_Agnes.f";"艾格妮絲";""
"cn_Agnes.m";"阿格尼斯";""
"cn_Agnessona.f";"艾格尼索娜";""
"cn_Agnise.f";"艾格奈絲";""
"cn_Agostino.m";"阿格斯蒂諾";""
"cn_Agosto.m";"阿格斯托";""
"cn_Agrafena.f";"阿格拉芙娜";""
"cn_Agron.m";"阿格隆";""
"cn_Agrypina.f";"阿格里皮娜";""
"cn_Ahalyz.f";"阿霍莉茲";""
"cn_Ahmad.m";"艾哈邁德";""
"cn_Ahman.m";"艾哈曼";""
"cn_Ahmed.m";"阿邁德";""
"cn_Ahti.m";"阿赫第";""
"cn_Aibak.m";"艾巴克";""
"cn_Aicelina.f";"艾塞琳娜";""
"cn_Aigeline.f";"愛格林妮";""
"cn_Aigiarn.f";"愛吉艾恩";""
"cn_Aigusta.f";"愛古斯緹婭";""
"cn_Aikasarria.m";"艾卡薩里亞";""
"cn_Ailbe.m";"埃爾貝";""
"cn_Ailean.m";"埃爾利安";""
"cn_Aimeric.m";"埃默里克";""
"cn_Aimeriguet.m";"埃美爾古艾特";""
"cn_Aimers.m";"艾默斯";""
"cn_Aimery.m";"埃莫里";""
"cn_Aimes.m";"埃莫斯";""
"cn_Aindrias.m";"艾因迪亞斯";""
"cn_Aitone.m";"埃通";""
"cn_Ajab.f";"阿賈卜";""
"cn_Ajissa.m";"阿吉撒";""
"cn_Ajlan.m";"阿吉蘭";""
"cn_Ajuja.f";"阿朱婭";""
"cn_Akhijuq.m";"阿基朱克";""
"cn_Akhistan.m";"阿奇斯坦";""
"cn_Ako.m";"安可奧";""
"cn_Al_Adil.m";"阿迪勒";""
"cn_al_Amir.m";"埃米爾";""
"cn_Al_Aziz.m";"阿齊茨";""
"cn_Al_Bashir.m";"巴希爾";""
"cn_Al_Bawwab.m";"巴瓦卜";""
"cn_Al_Hasan.m";"哈尚";""
"cn_Al_Kunduri.m";"昆杜里";""
"cn_Al_Mansur.m";"曼蘇爾";""
"cn_Al_Mu_min.m";"穆明";""
"cn_Al_Muizz.m";"莫伊茲";""
"cn_Al_Mujahid.m";"穆賈希德";""
"cn_Al_Mustazhir.m";"穆斯塔齊爾";""
"cn_Al_Mustrshid.m";"穆斯塔爾希德";""
"cn_Al_Nasir.m";"納席爾";""
"cn_Al_Rahman.m";"拉曼";""
"cn_Al_Salil.m";"薩里爾";""
"cn_Alaattin.m";"阿拉廷";""
"cn_Aladar.m";"阿拉達爾";""
"cn_Alaeddin.m";"阿拉艾丁";""
"cn_Alain.m";"阿利安";""
"cn_Alais.f";"阿萊絲";""
"cn_Alakhai.f";"阿菈亥";""
"cn_Alaltun.f";"阿勒屯";""
"cn_Alam.f";"阿拉姆";""
"cn_Alamanda.f";"亞拉曼達";""
"cn_Alamanno.m";"亞拉門農";""
"cn_Alan.m";"阿蘭";""
"cn_Alandar.m";"阿蘭達爾";""
"cn_Alane.m";"阿蘭因";""
"cn_Alani.m";"阿拉尼";""
"cn_Alaqush.m";"阿拉克什";""
"cn_Alard.m";"阿拉爾德";""
"cn_Alardus.m";"阿拉爾杜斯";""
"cn_Alas.m";"阿拉斯";""
"cn_Alasdair.m";"阿拉斯代爾";""
"cn_Alauddin.m";"阿拉烏德丁";""
"cn_Alays.f";"阿蕾斯";""
"cn_Alazais.m";"阿拉澤斯";""
"cn_Albarics.m";"阿貝瑞克斯";""
"cn_Alberic.m";"阿貝里克";""
"cn_Alberik.m";"阿爾貝里克";""
"cn_Albert.m";"艾伯特";""
"cn_Alberto.m";"阿爾貝托";""
"cn_Alberts.m";"阿爾伯茨";""
"cn_Albinus.m";"阿爾比努斯";""
"cn_Albizzo.m";"阿爾比茲";""
"cn_Albrecht.m";"阿爾布雷希特";""
"cn_Albreda.f";"阿爾布蕾達";""
"cn_Albrekt.m";"阿爾布瑞克";""
"cn_Alda.f";"艾爾達";""
"cn_Aldimir.m";"阿爾迪米爾";""
"cn_Aldona.f";"阿爾多娜";""
"cn_Aldona_Anna.f";"阿爾多娜-安娜";""
"cn_Aldonza.f";"阿爾多莎";""
"cn_Aldonzo.m";"阿爾多佐";""
"cn_Alduin.m";"奧杜因";""
"cn_Alek_sandre.m";"亞歷山德雷";""
"cn_Alekna.m";"阿萊克納";""
"cn_Aleksa.m";"阿萊克薩";""
"cn_Aleksandar.m";"亞歷山達爾";""
"cn_Aleksandra.f";"亞歷山德拉";""
"cn_Aleksandras.m";"亞歷山德拉斯";""
"cn_Aleksii.m";"亞萊克斯";""
"cn_Alesia.f";"阿萊西亞";""
"cn_Alesonne.f";"阿萊松尼";""
"cn_Alessandro.m";"亞歷山德羅";""
"cn_Alexandair.m";"亞歷山德爾";""
"cn_Alexander.m";"亞歷山大";""
"cn_Alexandra.f";"亞歷山卓";""
"cn_Alexandre.m";"亞歷山德力";""
"cn_Alexandros.m";"亞歷山德羅斯";""
"cn_Alexandru.m";"亞歷山德魯";""
"cn_Alexey.m";"阿列克謝";""
"cn_Alexios.m";"阿萊克修斯";""
"cn_Alf.m";"阿爾夫";""
"cn_Alfans.m";"阿爾范斯";""
"cn_Alfas.m";"阿爾法斯";""
"cn_Alfhild.f";"阿爾菲爾德";""
"cn_Alfonso.m";"阿方索";""
"cn_Alfred.m";"阿爾弗雷德";""
"cn_Alghu.m";"阿魯忽";""
"cn_Algirdas.m";"阿爾吉達斯";""
"cn_Algot.m";"阿爾戈";""
"cn_Alguine.m";"阿爾古尼";""
"cn_Algune.m";"阿古尼";""
"cn_Ali.m";"阿里";""
"cn_Alianore.f";"阿里安諾";""
"cn_Alias.m";"阿里阿斯";""
"cn_Aliazars.m";"阿里扎爾斯";""
"cn_Alice.f";"愛麗絲";""
"cn_Alicia.f";"阿里西婭";""
"cn_Aligerno.m";"阿里戈爾諾";""
"cn_Alighiero.m";"阿利吉耶羅";""
"cn_Alinakh.m";"阿林納罕";""
"cn_Alinaq.m";"阿林那克";""
"cn_Aline.f";"阿林妮";""
"cn_Alison.f";"阿麗森";""
"cn_Alix.f";"艾麗斯";""
"cn_Alketa.f";"阿爾科妲";""
"cn_Allune.f";"阿倫妮";""
"cn_Almanric.m";"阿爾曼瑞克";""
"cn_Almavis.m";"阿爾馬維斯";""
"cn_Almeric.m";"阿爾梅里克";""
"cn_Almerico.m";"阿爾梅里科";""
"cn_Almish.m";"阿爾米什";""
"cn_Almodis.f";"阿爾莫蒂斯";""
"cn_Almos.m";"阿爾莫斯";""
"cn_Alnas.m";"阿爾納斯";""
"cn_Alonso.m";"阿隆索";""
"cn_Alp.m";"阿爾普";""
"cn_Alpfonse.m";"阿方斯";""
"cn_Alphonse.m";"阿爾豐斯";""
"cn_Alqamah.m";"艾里尕買";""
"cn_Altani.f";"阿爾塔尼";""
"cn_Aluar.m";"阿爾烏爾";""
"cn_Alusian.m";"阿盧希安";""
"cn_Alvaro.m";"阿爾瓦羅";""
"cn_Alvito.m";"阿爾維托";""
"cn_Alvydas.m";"阿爾維達斯";""
"cn_Alwin.m";"埃爾文";""
"cn_Alwina.f";"埃文娜";""
"cn_Alycie.f";"阿爾茜";""
"cn_Alys.f";"艾麗絲";""
"cn_Am_aq.m";"阿馬克";""
"cn_Amade.m";"阿馬德";""
"cn_Amadeo.m";"阿馬德奧";""
"cn_Amadeus.m";"阿馬德烏斯";""
"cn_Amai.m";"阿邁";""
"cn_Amal.f";"艾莫";""
"cn_Amaldrics.m";"阿莫德瑞克斯";""
"cn_Amalie.f";"艾瑪麗";""
"cn_Amalric.m";"阿馬瑞克";""
"cn_Amand.m";"阿曼德";""
"cn_Amaneus.m";"阿曼尼烏斯";""
"cn_Amat.f";"阿瑪特";""
"cn_Amata.f";"阿瑪塔";""
"cn_Amaury.m";"阿莫里";""
"cn_Ambaghai.m";"俺巴孩";""
"cn_Amblard.m";"安布拉爾";""
"cn_Ambrogio.m";"安布洛喬";""
"cn_Amelia.f";"阿米莉婭";""
"cn_Amentario.m";"阿曼塔力諾";""
"cn_Amerigo.m";"亞美利哥";""
"cn_Amery.m";"阿麥里";""
"cn_Amghar.m";"阿馬格哈爾";""
"cn_Amina.f";"阿米娜";""
"cn_Amir.m";"阿米爾";""
"cn_Amirouche.m";"阿姆魯什";""
"cn_Amis.m";"阿米斯";""
"cn_Ammouri.m";"阿穆里";""
"cn_Amor.m";"埃莫";""
"cn_Amos.m";"阿摩司";""
"cn_Ampud.m";"阿穆卜德";""
"cn_Amrus.m";"阿姆魯斯";""
"cn_an_Nasir.m";"安-納賽爾";""
"cn_Ana.f";"艾娜";""
"cn_Ana_Neda.f";"安娜-妮達";""
"cn_Anabella.f";"安娜貝拉";""
"cn_Anacletus.m";"阿納克利特斯";""
"cn_Ananias.m";"亞拿尼亞";""
"cn_Anarawd.m";"安納羅德";""
"cn_Anastasia.f";"安娜斯塔西婭";""
"cn_Anastasius.m";"阿納斯塔修斯";""
"cn_Anastasiya.f";"安娜塔西亞";""
"cn_Anbesa.m";"安培薩";""
"cn_Ancel.m";"安塞爾";""
"cn_Ancelmes.m";"安塞爾梅斯";""
"cn_Anders.m";"安德爾斯";""
"cn_Andras.m";"安德拉斯";""
"cn_Andre.m";"安德烈";""
"cn_Andrea.m";"安德里亞";""
"cn_Andreas.m";"安德里亞斯";""
"cn_Andrei.m";"安德列";""
"cn_Andreu.m";"安德如";""
"cn_Andreva.f";"安德瑞瓦";""
"cn_Andrew.m";"安德魯";""
"cn_Andrey.m";"安德雷";""
"cn_Andrija.m";"安得利亞";""
"cn_Andrius.m";"安德瑞烏斯";""
"cn_Andronikos.m";"安德羅尼科斯";""
"cn_Androu.m";"安德羅";""
"cn_Andrzej.m";"安傑依";""
"cn_Anfos.m";"安伏斯";""
"cn_Angel.m";"安吉爾";""
"cn_Angela.f";"安吉菈";""
"cn_Angelo.m";"安吉洛";""
"cn_Angharad.f";"安加拉德";""
"cn_Angjelina.f";"安吉麗娜";""
"cn_Ani.f";"阿妮";""
"cn_Anka.f";"安卡";""
"cn_Anna.f";"安娜";""
"cn_Anna_Anisia.f";"安娜-阿麗西亞";""
"cn_Anna_Teodora.f";"安娜-特蘿多菈";""
"cn_Annabel.f";"安娜貝爾";""
"cn_Anne.f";"安妮";""
"cn_Annecke.f";"安妮珂";""
"cn_Annes.f";"安妮絲";""
"cn_Annesium.m";"安尼斯姆";""
"cn_Annesona.f";"安妮索娜";""
"cn_Anrothan.m";"安洛先";""
"cn_Ansaldo.m";"安薩爾多";""
"cn_Anselm.m";"安瑟倫";""
"cn_Anselmus.m";"安瑟爾謨";""
"cn_Ansfrid.m";"安弗列";""
"cn_Ansger.m";"安斯格爾";""
"cn_Ansuro.m";"安蘇若";""
"cn_Anta.f";"安塔";""
"cn_Antero.m";"安特羅";""
"cn_Anthimos.m";"安蒂莫斯";""
"cn_Anthony.m";"安東尼";""
"cn_Antoine.m";"安托萬";""
"cn_Anton.m";"安托";""
"cn_Antonia.f";"安東尼婭";""
"cn_Antonije.m";"安東尼耶";""
"cn_Antonio.m";"安東尼奧";""
"cn_Antonios.m";"安東尼奧斯";""
"cn_Antonius.m";"安東尼烏斯";""
"cn_Antony.m";"安托尼";""
"cn_Antoon.m";"安東";""
"cn_Antso.m";"安索";""
"cn_Antun.m";"安通";""
"cn_Anund.m";"阿儂德";""
"cn_Anush.m";"阿努什";""
"cn_Anushirvan.m";"阿努什旺";""
"cn_Aodh.m";"傲德";""
"cn_Aoife.f";"奧菲";""
"cn_Aongus.m";"安古斯";""
"cn_Aphrasiab.m";"阿法拉西阿卜";""
"cn_Apirat.m";"阿比叻";""
"cn_Apor.m";"奧波爾";""
"cn_Appa.m";"阿帕";""
"cn_Apridon.m";"阿培里頓";""
"cn_Aqsunqur.m";"安奎沙克";""
"cn_Ara.f";"雅拉";""
"cn_Ara.m";"亞拉";""
"cn_Arabella.f";"阿拉貝拉";""
"cn_Araimfres.m";"阿萊姆福瑞斯";""
"cn_Aralt.m";"阿拉特";""
"cn_Arbenita.f";"阿爾伯妮塔";""
"cn_Arber.m";"阿爾布爾";""
"cn_Arbert.m";"阿爾布爾特";""
"cn_Arbois.m";"阿爾博伊斯";""
"cn_Archambaud.m";"阿爾尚博";""
"cn_Archibald.m";"阿奇博爾德";""
"cn_Arcill.m";"阿爾奇爾";""
"cn_Arda.f";"阿爾達";""
"cn_Ardhal.m";"阿爾德哈爾";""
"cn_Ardi.m";"阿爾迪";""
"cn_Ardian.m";"阿爾迪安";""
"cn_Ardit.m";"阿爾迪特";""
"cn_Ardudfyl.f";"阿爾杜德菲";""
"cn_Arem.m";"阿爾姆";""
"cn_Arghun.m";"阿魯渾";""
"cn_Argyra.f";"阿吉拉";""
"cn_Arian.m";"阿里安";""
"cn_Ariana.f";"阿里安娜";""
"cn_Arias.m";"阿里亞斯";""
"cn_Arif.m";"阿里夫";""
"cn_Arina.f";"阿里娜";""
"cn_Ariq.m";"阿里奇";""
"cn_Arishiani.m";"阿里什阿尼";""
"cn_Arjaan.m";"阿爾基恩";""
"cn_Arletta.f";"阿爾蕾塔";""
"cn_Arlette.f";"阿萊特";""
"cn_Armanda.f";"阿曼達";""
"cn_Armans.m";"阿爾曼斯";""
"cn_Armilia.f";"阿爾米菈";""
"cn_Arnau.m";"阿爾瑙";""
"cn_Arnaud.m";"阿瑙德";""
"cn_Arnaut.m";"亞納特";""
"cn_Arnautz.m";"阿爾瑙茲";""
"cn_Arne.m";"阿爾內";""
"cn_Arnold.m";"阿諾德";""
"cn_Arnoud.m";"阿爾努";""
"cn_Arnulf.m";"阿諾夫";""
"cn_Aron.m";"阿倫";""
"cn_Arpa.m";"阿爾帕";""
"cn_Arpad.m";"阿帕德";""
"cn_Arrigo.m";"阿里戈";""
"cn_Arsenda.f";"阿爾森達";""
"cn_Arsenius.m";"阿森紐斯";""
"cn_Arshak.m";"阿爾沙克";""
"cn_Arslan.m";"亞斯蘭";""
"cn_Art.m";"阿爾特";""
"cn_Arta.f";"艾爾塔";""
"cn_Artaud.m";"阿爾托";""
"cn_Artaude.f";"阿爾托德";""
"cn_Artgar.m";"阿爾特加爾";""
"cn_Artuq.m";"阿爾圖奇";""
"cn_Arvid.m";"阿爾維德";""
"cn_Arwa.f";"阿爾瓦";""
"cn_Arzhur.m";"阿蒂爾";""
"cn_As_Salih.m";"薩利赫";""
"cn_Asa.f";"阿薩";""
"cn_Asad.m";"阿薩德";""
"cn_Asadi.m";"阿薩迪";""
"cn_Asantewa.f";"阿薩特瓦";""
"cn_Asat.m";"阿薩特";""
"cn_Asbag.m";"阿斯巴格";""
"cn_Asbjorn.m";"阿斯比約恩";""
"cn_Ascall.m";"阿斯考爾";""
"cn_Asce.m";"阿斯克";""
"cn_Ascelina.f";"阿塞利娜";""
"cn_Ascer.m";"阿斯克爾";""
"cn_Asen.m";"阿森";""
"cn_Ashab.m";"艾蘇哈卜";""
"cn_Ashot.m";"埃肖特";""
"cn_Asim.m";"阿西姆";""
"cn_Asiya.f";"阿西葉";""
"cn_Askia.m";"阿斯基亞";""
"cn_Aslan.m";"阿斯蘭";""
"cn_Asma.f";"艾斯瑪";""
"cn_Asmuna.f";"亞斯穆娜";""
"cn_Asomantios.m";"阿索曼提奧斯";""
"cn_Aspuraces.m";"阿斯帕拉斯";""
"cn_Asser.m";"安瑟爾";""
"cn_Asti.m";"阿斯提";""
"cn_Astrid.f";"阿斯特麗德";""
"cn_Astvatsatour.m";"阿斯特瓦薩圖爾";""
"cn_Asutai.m";"阿魯臺";""
"cn_Atha.m";"阿撒";""
"cn_Athanasios.m";"阿薩納西奧斯";""
"cn_Athanasius.m";"阿塔納修";""
"cn_Athl.f";"亞茜爾";""
"cn_Atikah.f";"艾蒂卡";""
"cn_Atrnerseh.m";"阿特爾奈謝赫";""
"cn_Atsiz.m";"阿齊";""
"cn_Atszis.m";"阿斯蒂茲";""
"cn_Attaviano.m";"安塔維亞諾";""
"cn_Attia.m";"阿提亞";""
"cn_Attila.m";"阿提拉";""
"cn_Atyusz.m";"阿圖尤斯";""
"cn_Aubrey.m";"奧布里";""
"cn_Aucassin.m";"奧卡辛";""
"cn_Aude.m";"奧德";""
"cn_Audiarda.f";"奧蒂阿爾達";""
"cn_Audry.m";"奧德里";""
"cn_Audun.m";"奧頓";""
"cn_Augusta.f";"奧古絲塔";""
"cn_Aurembiaix.f";"奧倫比亞";""
"cn_Aureo.m";"奧瑞羅";""
"cn_Austin.m";"奧斯丁";""
"cn_Austorga.f";"奧斯托嘉";""
"cn_Ava.f";"艾娃";""
"cn_Avag.m";"阿瓦格";""
"cn_Avazg.m";"阿瓦茨格";""
"cn_Avazg_Sargis.m";"阿瓦茨格-薩爾吉斯";""
"cn_Avelina.f";"阿薇麗娜";""
"cn_Aveline.f";"艾芙琳";""
"cn_Averardo.m";"阿維拉多";""
"cn_Avgaroz.m";"阿維加羅茨";""
"cn_Avice.f";"艾維斯";""
"cn_Avoice.f";"阿沃斯";""
"cn_Awais.m";"阿韋斯";""
"cn_Awhad.m";"阿維哈德";""
"cn_Awhar.m";"阿瓦爾";""
"cn_Axel.m";"阿克謝爾";""
"cn_Ayachi.m";"阿亞希";""
"cn_Ayay.m";"阿亞";""
"cn_Ayba.f";"埃巴";""
"cn_Aydua.f";"埃杜阿";""
"cn_Aymer.m";"埃默";""
"cn_Aymoneta.f";"埃莫妮塔";""
"cn_Aysha.f";"阿伊莎";""
"cn_Aytekin.m";"艾特金";""
"cn_Ayyub.m";"艾尤布";""
"cn_Azaria.m";"阿扎利亞";""
"cn_Azemars.m";"阿澤馬爾斯";""
"cn_Aziz.m";"阿齊茲";""
"cn_Azizah.f";"阿齊莎";""
"cn_Aznaro.m";"阿茲那羅";""
"cn_Azzah.f";"阿扎赫";""
"cn_Azzo.m";"阿茲羅";""
"cn_Azzone.m";"阿佐恩";""
"cn_Babken.m";"巴伯肯";""
"cn_Bachaler.m";"巴士拉爾";""
"cn_Bachir.m";"巴奇爾";""
"cn_Badis.m";"巴迪斯";""
"cn_Badr.m";"巴德爾";""
"cn_Baghdad.f";"巴格達";""
"cn_Bago.m";"巴格";""
"cn_Bagrat.m";"巴格拉特";""
"cn_Baha.m";"巴哈";""
"cn_Bahadur.m";"巴哈杜爾";""
"cn_Bahja.f";"巴赫嘉";""
"cn_Bahmanyar.m";"巴赫曼亞爾";""
"cn_Bahr.m";"巴赫爾";""
"cn_Bahram.m";"巴赫拉姆";""
"cn_Baiamonte.m";"拜亞蒙特";""
"cn_Baidar.m";"拜答爾";""
"cn_Baidu.m";"拜度";""
"cn_Bainal.m";"拜淖爾";""
"cn_Baithin.m";"巴埃辛";""
"cn_Bakr.m";"巴卡爾";""
"cn_Balafasseke.m";"巴拉法斯克";""
"cn_Balagha.m";"巴拉尕哈";""
"cn_Balc.m";"巴拉克";""
"cn_Baldewin.m";"巴爾德溫";""
"cn_Baldewyn.m";"巴爾德恩";""
"cn_Balduin.m";"巴爾杜因";""
"cn_Baldwin.m";"鮑德溫";""
"cn_Balian.m";"巴利安";""
"cn_Balik.m";"巴利克";""
"cn_Balk.m";"巴爾克";""
"cn_Ballaban.m";"巴拉班";""
"cn_Balsha.m";"巴爾沙";""
"cn_Balthasar.m";"巴爾塔薩";""
"cn_Baltramiejus.m";"巴托羅繆";""
"cn_Baltu.m";"巴爾圖";""
"cn_Bamari.m";"巴馬里";""
"cn_Banafsaj.f";"巴那法斯賈";""
"cn_Banah.f";"巴那赫";""
"cn_Bancozzo.m";"巴科茲";""
"cn_Banujah.f";"班吉哈";""
"cn_Baptist.m";"巴普提斯特";""
"cn_Barak.m";"巴拉卡";""
"cn_Baram.m";"巴拉姆";""
"cn_Barbara.f";"芭芭拉";""
"cn_Barbat.m";"巴爾巴特";""
"cn_Bard.m";"巴爾德";""
"cn_Bardas.m";"巴爾達斯";""
"cn_Bardelone.m";"巴德龍";""
"cn_Bardh.m";"巴德赫";""
"cn_Bardis.m";"巴爾迪斯";""
"cn_Bardolph.m";"巴爾多夫";""
"cn_Barira.f";"巴瑞菈";""
"cn_Barjuk.m";"巴爾裘克";""
"cn_Barkhakh.m";"巴爾哈坎";""
"cn_Barlaam.m";"巴爾拉姆";""
"cn_Barnabas.m";"巴納巴斯";""
"cn_Barnaby.m";"巴納比";""
"cn_Barnim.m";"巴爾尼姆";""
"cn_Barral.m";"巴拉爾";""
"cn_Barrale.f";"巴蕾爾";""
"cn_Barsbai.m";"巴爾斯拜";""
"cn_Barsegh.m";"巴爾斯赫";""
"cn_Barshanbu.m";"巴爾珊布";""
"cn_Barshanbu_Seif.m";"巴爾珊布-賽耶夫";""
"cn_Bartan.m";"巴爾坦";""
"cn_Bartas.m";"巴爾塔斯";""
"cn_Barthel.m";"巴瑟爾";""
"cn_Bartholomew.m";"巴多羅買";""
"cn_Bartolome.m";"巴托洛梅";""
"cn_Bartolomeo.m";"巴托洛米奧";""
"cn_Bartolomeus.m";"巴塞洛繆斯";""
"cn_Basarab.m";"巴薩拉伯";""
"cn_Baset.m";"巴薩特";""
"cn_Basewin.m";"貝思文";""
"cn_Bashahri.m";"巴沙赫里";""
"cn_Bashar.m";"巴沙爾";""
"cn_Basiel.m";"巴塞爾";""
"cn_Basileios.m";"巴茲萊奧斯";""
"cn_Bastam.m";"巴斯塔姆";""
"cn_Basten.m";"巴斯滕";""
"cn_Bastiano.m";"巴斯蒂亞諾";""
"cn_Batin.m";"巴廷";""
"cn_Batiz.m";"巴提茲";""
"cn_Battista.m";"巴蒂斯塔";""
"cn_Battuta.m";"巴圖塔";""
"cn_Batu.m";"拔都";""
"cn_Baudouin.m";"博杜安";""
"cn_Baudoís.m";"博杜斯";""
"cn_Baugeid.f";"博吉德";""
"cn_Baul_Teval.m";"巴奧-特維拉";""
"cn_Bausas.m";"博薩斯";""
"cn_Bavo.m";"巴沃";""
"cn_Bayakachar.m";"巴亞喀察爾";""
"cn_Bayalun.m";"伯雅倫";""
"cn_Bayan.m";"巴彥";""
"cn_Bayaohe.m";"巴耶赫";""
"cn_Bayazid.m";"巴耶濟德";""
"cn_Baybars.m";"拜伯爾斯";""
"cn_Baydu.m";"拜都";""
"cn_Bayezid.m";"巴耶塞德";""
"cn_Bayju.m";"拜裘";""
"cn_Baylun.f";"拜倫";""
"cn_Bazi.f";"巴茲";""
"cn_Beate.f";"貝亞特";""
"cn_Beatrice.f";"比阿特麗斯";""
"cn_Beatrisona.f";"貝特麗斯納";""
"cn_Beatrix.f";"碧翠絲";""
"cn_Beatriz.f";"碧翠茲";""
"cn_Bedan.m";"貝丹";""
"cn_Bedreddin.m";"博睿丁";""
"cn_Bedros.m";"貝多爾斯";""
"cn_Bega.m";"貝加";""
"cn_Beglamish.m";"比米什";""
"cn_Behadur.m";"貝哈杜爾";""
"cn_Behter.m";"別克帖兒";""
"cn_Beka.f";"貝卡";""
"cn_Beke.m";"貝克";""
"cn_Bektash.m";"別克塔什";""
"cn_Bela.m";"貝拉";""
"cn_Belaid.m";"貝爾萊德";""
"cn_Belarot.m";"貝爾拉洛特";""
"cn_Belaur.m";"貝雷拉";""
"cn_Beldina.f";"貝爾蒂娜";""
"cn_Belgun.m";"貝爾貢";""
"cn_Belgutei.m";"別勒古臺";""
"cn_Beliarde.f";"貝萊爾德";""
"cn_Belkacem.m";"貝勒卡西姆";""
"cn_Bella.f";"貝菈";""
"cn_Belo.m";"貝洛";""
"cn_Belosh.m";"貝爾羅斯";""
"cn_Beloslava.f";"貝爾洛絲菈瓦";""
"cn_Beltran.m";"貝爾特倫";""
