"ID";"zh"
"Diplomacy.Greeting.OurPrisoner.Strong#3";"啊，很好。看起來你是前來釋放我的。"
"Diplomacy.Greeting.OurPrisoner.Weak";"把我放了，我會重重報答你，{plr_kingdom.king}！"
"Diplomacy.Greeting.OurPrisoner.Weak#2";"放了我，你要我做什麼我都願意，{plr_kingdom.king}！"
"Diplomacy.Greeting.OurPrisoner.Weak#3";"放我出去，英明的{plr_kingdom.king}，我會對你言聽計從！"
"Diplomacy.Greeting.Prisoner.Neutral";"承蒙你光臨我這個寒酸的{kingdom.king.prison_kingdom:ian}牢房，{plr_kingdom.king}。我很想給你弄杯喝的，但這鎖鏈讓我實在沒辦法。"
"Diplomacy.Greeting.Prisoner.Neutral#2";"說出你的條件，不過等我們完事了，記得去拜訪一下{kingdom.king.prison_kingdom.king}。我感覺他忘了釋放我的事了……"
"Diplomacy.Greeting.Prisoner.Neutral#3";"終於能幹點事了！這些{kingdom.king.prison_kingdom:ian}守衛無趣極了。"
"Diplomacy.Greeting.War.Neutral";"我們的敵人有話想找我說？這可真新奇。"
"Diplomacy.Greeting.War.Neutral#2";"我們一般不會跟敵人多費口舌，不過我倒想看看你有什麼想法。"
"Diplomacy.Greeting.War.Neutral#3";"你最好能說出一個來這邊的正當理由。到底是怎麼回事？"
"Diplomacy.Greeting.War.Neutral#4";"說吧，{plr_kingdom.king}。"
"Diplomacy.Greeting.OurPrisonerWar.Neutral";"說出你的要求，然後解開我身上的這些該死的鎖鏈！"
"Diplomacy.Greeting.OurPrisonerWar.Neutral#2";"你要跟一個鐐銬加身的囚犯談外交條件？你可真是膽小透了。"
"Diplomacy.Greeting.OurPrisonerWar.Neutral#3";"我看穿你的伎倆了。別以為這些桎梏會讓我屈服！"
"Diplomacy.Greeting.OurPrisonerWar.Strong";"也許你看我深陷牢獄，就以為有機會打敗我們的軍隊了？我勸你三思，你這個陰險小人。"
"Diplomacy.Greeting.OurPrisonerWar.Strong#2";"你是來談你的投降事宜的嗎？別擔心，即使在牢里我也能把它安排好。"
"Diplomacy.Greeting.OurPrisonerWar.Strong#3";"你以為就因為我被你抓到了牢里，我會乖乖聽你的？別做白日夢了。"
"Diplomacy.Greeting.OurPrisonerWar.Weak";"{plr_kingdom.king}！讓我回到{kingdom}，回到我的人民那裡，然後我就會讓我的部隊撤退！"
"Diplomacy.Greeting.OurPrisonerWar.Weak#2";"你好啊，{plr_kingdom.king}。我很樂意談談停戰的事，希望你能重新考慮把我放了。"
"Diplomacy.Greeting.OurPrisonerWar.Weak#3";"{kingdom}殷切希望他們的{kingdom.king.title}歸來。滿足他們的願望，然後我們也許可以達成某種協議！"
"Diplomacy.Greeting.PrisonerWar.Neutral";"你應該慶幸我被關在{kingdom.king.prison_kingdom}中，否則你早就完了！"
"Diplomacy.Greeting.PrisonerWar.Neutral#2";"是的，我懂，我現在是{kingdom.king.prison_kingdom:s}的階下囚。你是來進一步羞辱我的嗎？"
"Diplomacy.Greeting.PrisonerWar.Neutral#3";"你來這做什麼，{plr_kingdom.king}？別以為這些{kingdom.king.prison_kingdom:ian}的鎖鏈能讓你輕而易舉地獲得和平。"
"Diplomacy.Greeting.Alliance.Neutral";"啊，{plr_kingdom.king}！你怎麼來這了？"
"Diplomacy.Greeting.Alliance.Neutral#2";"嗯？我們的好盟友想要什麼？"
"Diplomacy.Greeting.Alliance.Neutral#3";"歡迎，朋友！你有什麼事要談？"
"Diplomacy.Comment.Neutral";"那就這樣吧。"
"Diplomacy.Comment.War.Neutral";"那就開戰吧！"
"Diplomacy.Comment.War.Neutral#2";"我們戰場上見，{plr_kingdom.king}！"
"Diplomacy.Comment.War.Neutral#3";"錯誤的決策！你的城市很快就會千瘡百孔！"
"Diplomacy.Comment.War.Neutral#4";"你低估了我們，{plr_kingdom}的{plr_kingdom.king}，你的人民將會為此付出代價！"
"Diplomacy.Comment.War.Neutral#5";"開戰吧！百年之後，沒人還會記得{plr_kingdom}曾經存在過！"
"Diplomacy.Comment.War.Neutral#6";"我們之間的問題還可以有其他解決方式，{plr_kingdom.king}。"
"Diplomacy.Comment.War.Neutral#7";"對權力的渴望矇蔽了你，{plr_kingdom.king}。你會讓你的士兵白白流血的！"
"Diplomacy.Comment.War.Strong";"你會為此後悔的！"
"Diplomacy.Comment.War.Strong#2";"你瘋了，{plr_kingdom.king}！你的軍隊不堪一擊！"
"Diplomacy.Comment.War.Strong#3";"你將為你的傲慢付出代價，{plr_kingdom.king}！"
"Diplomacy.Comment.War.Strong#4";"這將是{plr_kingdom}最糟糕的外交錯誤！"
"Diplomacy.Comment.War.Strong#5";"完全瘋了！等我們把我幹掉，{plr_kingdom}就會灰飛煙滅。"
"Diplomacy.Comment.War.Weak";"希望你三思而後行，{plr_kingdom.king}。流血不是唯一的手段！"
"Diplomacy.Comment.War.Weak#2";"你的軍隊將在我們的領土上血流成河！"
"Diplomacy.Comment.War.Weak#3";"別看輕了我們：{kingdom}的勇士跟你們打起來可以以一當十！"
"Diplomacy.Comment.War.Weak#4";"我們早有所料，{plr_kingdom.king}！你將永遠擺脫不了野蠻暴君的聲名！"
"Diplomacy.Comment.War.Weak#5";"行！我們會保護自己的王國，無論代價如何。我們決不投降！"
"Diplomacy.Comment.War.Weak#6";"我們在這裡完全說不到一塊去。有些人就是聽不進別人說的話……我們在戰場上見，{plr_kingdom.king}！"
"Diplomacy.Comment.War.Weak#7";"難道你的領土還不夠大嗎，{plr_kingdom.king}？如果你的軍隊進入{kingdom}，你將付出巨大的代價。"
"Diplomacy.Comment.OfferGold.Neutral";"感謝你的黃金，{plr_kingdom.king}。"
"Diplomacy.Comment.OfferGold.Neutral#2";"你的資助對我們非常重要！"
"Diplomacy.Comment.OfferGold.Neutral#3";"你給的資金我們已收到！{kingdom}的人民會銘記你好意的表示！"
"Diplomacy.Comment.OfferGold.Neutral#4";"非常感謝你，{plr_kingdom.king}，{offer.gold_amount}{gold_icon}會大大幫助我們解決眼下的困難。"
"Diplomacy.Comment.OfferGold.Strong";"就當下來說，這個數量完全夠了。雖然{plr_kingdom}尚不強盛，但{kingdom}非常重視你這個盟友！"
"Diplomacy.Comment.OfferGold.Strong#2";"我們非常感激。你還想給我們什麼東西嗎？"
"Diplomacy.Comment.OfferGold.Strong#3";"感謝你！給我們送禮，會大大有助於{kingdom}和{plr_kingdom}之間締結長久的友誼關係。"
"Diplomacy.Comment.OfferGold.Strong#4";"雖然{offer.gold_amount}對{kingdom}來說不算什麼，但這是一個良好的開端！"
"Diplomacy.Comment.OfferGold.Weak";"你的慷慨讓我們深感榮幸！我們會認真對待你給的黃金。"
"Diplomacy.Comment.OfferGold.Weak#2";"{kingdom}的人民不會忘記你的雪中送炭之舉！"
"Diplomacy.Comment.OfferGold.Weak#3";"我們非常感激你的友善，{plr_kingdom.king}。"
"Diplomacy.Comment.OfferGold.Weak#4";"謝謝，{kingdom.king}保證會好好利用這些{offer.gold_amount}{gold_icon}！"
"Diplomacy.Comment.OfferLand.Neutral";"謝謝！我們會精心治理{offer.arg0}。"
"Diplomacy.Comment.OfferLand.Neutral#2";"這真讓我們感到榮幸！{offer.arg0}的人民會在我們的管轄下繁榮昌盛。"
"Diplomacy.Comment.OfferLand.Strong";"我們非常樂意接管{offer.arg0}。{kingdom}萬歲！"
"Diplomacy.Comment.OfferLand.Strong#2";"英明的你一定會承認，我們的帝國眼下的發展勢不可擋！只要你繼續支援我們，{kingdom}和{plr_kingdom}就會共同繁榮！"
"Diplomacy.Comment.OfferLand.Weak";"{plr_kingdom.king}，歐洲已經久未得遇你這樣強大又謙遜的明君了！有了{offer.arg0}，我們會變得更強大，同{plr_kingdom}的友誼也會更牢固！"
"Diplomacy.Comment.OfferLand.Weak#2";"謝謝你讓我們與{offer.arg0}的弟兄們聯結在了一起。這種行為絕不會被忘記！"
"Diplomacy.Comment.GrantIndependence.Neutral";"謝謝！{kingdom}的人民一定會記得你怎麼賦予他們自由的！"
"Diplomacy.Comment.GrantIndependence.Strong";"我們感激你的好意，我們的友誼之樹將會長青！如果{kingdom}不能取得自由，我們一定會開戰的！"
"Diplomacy.Comment.GrantIndependence.Weak";"自由王國{kingdom}萬歲！偉大君主{plr_kingdom.king}萬歲！"
"Diplomacy.Comment.PayLoan.Strong";"很好，我們差點就要不耐煩了！"
"Diplomacy.Comment.PayLoan.Neutral";"很好。我們差點就要以為你不打算還債了。"
"Diplomacy.Comment.PayLoan.Weak";"很好，謝謝！希望{plr_kingdom}的情況已經好轉。"
"Diplomacy.Comment.BreakMarriage.Strong";"你怎麼敢這樣！{plr_kingdom}本來就配不上這樣的榮譽，而你現在又想辱沒我們王室的名聲？！"
"Diplomacy.Comment.BreakMarriage.Neutral";"真夠可笑的！我們還以為你是我們的親屬。"
"Diplomacy.Comment.BreakMarriage.Weak";"他們確實不是最適合的一對夫妻，但是毀掉婚約也太可恥了！"
"Diplomacy.Accept.Neutral";"沒問題，這聽起來是個不錯的協議。"
"Diplomacy.Accept.Strong";"聽起來這個協議可以接受。"
"Diplomacy.Accept.Weak";"我們很高興與你達成一致！"
"Diplomacy.Accept.Peace.Neutral";"好的，讓我們終止這場勞民傷財又沒有任何意義的戰爭吧！"
"Diplomacy.Accept.Peace.Neutral#2";"我們這就簽下和平協議，讓我們的王國永保和平！"
"Diplomacy.Accept.Peace.Neutral#3";"{kingdom}和{plr_kingdom}的人民期望和平已久！讓我們停止這場流血的戰爭吧！"
"Diplomacy.Accept.Peace.Neutral#4";"我們接受你的和平提議。希望你恪守諾言，{plr_kingdom.king}。"
"Diplomacy.Accept.Peace.Strong";"這一次我們饒過你，但以後我們會密切注意你。不要再讓{kingdom}失望了！"
"Diplomacy.Accept.Peace.Strong#2";"把今天的教訓牢牢記住，{plr_kingdom.king}！我們已經輕視你了。可別讓我們為今天施加的仁慈而後悔。"
"Diplomacy.Accept.Peace.Strong#3";"{plr_kingdom}應該慶幸，強大的{kingdom}眼下不太想與你作戰。把字簽了，讓戰爭終止吧。"
"Diplomacy.Accept.Peace.Weak";"我們感激你的仁慈，{plr_kingdom.king}！你一定不會後悔簽下這份和平協議的。"
"Diplomacy.Accept.Peace.Weak#2";"明智的{plr_kingdom.king}早該看到，{kingdom}和{plr_kingdom}之間就應該保持和平！"
"Diplomacy.Accept.Peace.Weak#3";"接受！希望這能平息{plr_kingdom}和{kingdom}之間的爭端，讓我們在和平中實現繁榮昌盛！"
"Diplomacy.Accept.PeaceOfferred.Neutral";"聽起來這能夠補償你對{kingdom}的暴行。我們接受你的和平提議！"
"Diplomacy.Accept.PeaceOfferred.Neutral#2";"這些條款很公平，{kingdom}跟{plr_kingdom}一樣，也不想要這場戰爭。轉入和平狀態吧！"
"Diplomacy.Accept.PeaceOfferred.Neutral#3";"我們會終止戰爭，不過如果你想要背棄協議或尋求復仇，我們的兵士會立即拿起武器！"
"Diplomacy.Accept.PeaceOfferred.Strong";"我們同意，{plr_kingdom.king}！現在你跪下來親吻{kingdom.king:s}的手，然後我們就可以迎來和平。"
"Diplomacy.Accept.PeaceOfferred.Strong#2";"我們接受你的投降，並且期待你以後保持完全服從，{plr_kingdom.king}。如果你敢違抗我們，我們可不會再仁慈了！"
"Diplomacy.Accept.PeaceOfferred.Strong#3";"現在你明白了，接受{kingdom}的至上無上地位是理所應當的！我們接受你的條款。"
"Diplomacy.Accept.PeaceOfferred.Strong#4";"我們接受你的提議，{plr_kingdom.king}。你終於認清了自己的位置。"
"Diplomacy.Accept.PeaceOfferred.Weak";"承認自己的失敗並不可恥，{plr_kingdom.king}！我們將與{plr_kingdom}締結和平！"
"Diplomacy.Accept.PeaceOfferred.Weak#2";"低頭認錯才能凸顯出你的真正力量和智慧，{plr_kingdom.king}。我們接受你提議的條款！"
"Diplomacy.Accept.PeaceOfferred.Weak#3";"{kingdom.king}認為你的條款非常公正與適當。我們同意簽署和平協議！"
"Diplomacy.Accept.PeaceDemanded.Neutral";"我們沒法否定你的勝利，這些條款也比較公正。那就締結和平吧！"
"Diplomacy.Accept.PeaceDemanded.Neutral#2";"你的提議過於貪心了，但我們仍然不得不接受。你會得到自己想要的，不過可別指望我們的人民會給予支援。"
"Diplomacy.Accept.PeaceDemanded.Neutral#3";"{kingdom.king}會接受你的提議，但你必須保證王室的安全。"
"Diplomacy.Accept.PeaceDemanded.Strong";"{plr_kingdom}這回走運佔了上風，在我們{kingdom}艱難的時刻背後捅了我們一刀。我們被迫接受你的提議。"
"Diplomacy.Accept.PeaceDemanded.Strong#2";"我們會簽署協議，{plr_kingdom.king}，不過你也別到處吹噓協議內容。"
"Diplomacy.Accept.PeaceDemanded.Strong#3";"今天{kingdom}被迫向{plr_kingdom}低頭，我們不得不接受這個至暗時刻。"
"Diplomacy.Accept.PeaceDemanded.Weak";"我們臣服於你，{plr_kingdom.king}。我們接受你的條款。"
"Diplomacy.Accept.PeaceDemanded.Weak#2";"雖然這些條款既不公正也不公平，但我們不得不接受。"
"Diplomacy.Accept.PeaceDemanded.Weak#3";"我們懇求你施加仁慈，{plr_kingdom.king}。我們接受你的條款，請保全我們的貴族和人民！"
"Diplomacy.Accept.Trade.Neutral";"我們歡迎你的貿易提議，{plr_kingdom.king}。"
"Diplomacy.Accept.Trade.Neutral#2";"沒問題，同{plr_kingdom}貿易似乎是一個很難得的機會。"
"Diplomacy.Accept.Trade.Neutral#3";"很好，我們接受！讓我們的商人儘快找到兩國之間最值得貿易的商品吧。"
"Diplomacy.Accept.Trade.Neutral#4";"我們正打算向你提出貿易提議。我們當然贊同！"
"Diplomacy.Accept.Trade.Strong";"我們會接受你的商人，{plr_kingdom.king}，但是也會嚴格地監視他們。"
"Diplomacy.Accept.Trade.Strong#2";"我們同意。雖然{plr_kingdom}不算強大，但畢竟是{kingdom}的重要夥伴。"
"Diplomacy.Accept.Trade.Strong#3";"行吧。同{plr_kingdom}貿易應該會有利於我們的經濟。"
"Diplomacy.Accept.Trade.Strong#4";"我們同意你與我們的王國進行貿易，{plr_kingdom.king}。"
"Diplomacy.Accept.Trade.Strong#5";"我們接受這份貿易協定，{plr_kingdom.king}，不過請記住，我們希望你的王國能提供最實惠的價格。"
"Diplomacy.Accept.Trade.Weak";"與你的王國進行貿易是我們的榮幸，{plr_kingdom.king}！"
"Diplomacy.Accept.Trade.Weak#2";"一個非常棒的提議，{plr_kingdom.king}國王！我們接受你的貿易提議。"
"Diplomacy.Accept.Trade.Weak#3";"你絕對不會為此後悔的，{plr_kingdom.king}。{kingdom}一定會向我們提供最棒的商品。"
"Diplomacy.Accept.Trade.Weak#4";"感謝你充滿信任和友善的提議。我們非常樂意接受，而且我們的商人一定會提供最公正的價格。"
"Diplomacy.Accept.Trade.Weak#5";"我們同意。{plr_kingdom.king}和{kingdom}之間的貿易對我們兩國來說都是一個千載難逢的機會！我們一定會開出最公平的價格！"
"Diplomacy.Accept.NonAggression.Neutral";"是的，停止侵略{plr_kingdom}會對我們的人民有利。"
"Diplomacy.Accept.NonAggression.Neutral#2";"我們同意。互不侵犯條約將是改善我們關係的第一步。"
"Diplomacy.Accept.NonAggression.Neutral#3";"簽署這份條約吧，這個地區的長久和平與穩定也正是我們想要的。"
"Diplomacy.Accept.NonAggression.Strong";"我們同意，{plr_kingdom.king}。我們將不會進攻你。"
"Diplomacy.Accept.NonAggression.Strong#2";"我們將寬厚對待{plr_kingdom}。保護好我們的背後，我們將不會進攻你。"
"Diplomacy.Accept.NonAggression.Strong#3";"我們暫時與你站在同一戰線，我們不希望與{plr_kingdom}開戰。不過如果你又想耍花招，我們可能會重新考慮！"
"Diplomacy.Accept.NonAggression.Weak";"我們的人民都很高興能夠避免與{plr_kingdom}敵對。"
"Diplomacy.Accept.NonAggression.Weak#2";"我們當然同意！你不用再擔心來自{kingdom}的任何侵略。"
"Diplomacy.Accept.NonAggression.Weak#3";"我們相信{plr_kingdom}和{kingdom}不可能在當下開戰，不過正式簽訂條約是一個更好的主意！"
"Diplomacy.Accept.Alliance.Neutral";"{kingdom}和{plr_kingdom}之間的聯盟有利於我們雙方。"
"Diplomacy.Accept.Alliance.Neutral#2";"我們將與{plr_kingdom}結成聯盟！這似乎是我們牢固友誼的開端。"
"Diplomacy.Accept.Alliance.Strong";"與{plr_kingdom}結盟是我們的軍事統領所讚許的策略。我們接受！"
"Diplomacy.Accept.Alliance.Strong#2";"結盟吧！我們需要{plr_kingdom}在戰時支援我們的王國！"
"Diplomacy.Accept.Alliance.Weak";"{kingdom}王國會因為與{plr_kingdom}結盟而感到榮幸！"
"Diplomacy.Accept.Alliance.Weak#2";"我們接受你的提議，並感謝你的信任。在我們軍隊的聯合面前，敵人肯定會潰不成軍！"
"Diplomacy.Accept.Marriage.Neutral";"這場婚姻是我們友誼的象徵。愿{offer.arg0}同{offer.arg1:s}百年好合！"
"Diplomacy.Accept.Marriage.Strong";"血脈將我們聯結到一起，沒人能與我們的聯盟抗衡。{offer.arg0}同{offer.arg1}的婚姻將繁盛百年！"
"Diplomacy.Accept.Marriage.Weak";"這是我們的榮幸！祝福{offer.arg0}和{offer.arg1}家庭和睦，早生貴子！"
"Diplomacy.Accept.DemandGold.Neutral";"我們將為你提供需要的黃金。"
"Diplomacy.Accept.DemandGold.Neutral#2";"行吧，我們給你提供一些資金援助，不過可別忘了還我們的人情。"
"Diplomacy.Accept.DemandGold.Neutral#3";"你就不能少要點嗎？{p}行吧，行吧，我們會幫助你，不過希望你能省著點用。"
"Diplomacy.Accept.DemandGold.Neutral#4";"好的，我們會幫你。你知道的，你在困難的時候總是可以向我們求助。我們還會給你提供財政建議，如果你需要的話。"
"Diplomacy.Accept.DemandGold.Strong";"我們會給你這些錢，不過要記住，{kingdom}不會一直無條件資助你。"
"Diplomacy.Accept.DemandGold.Strong#2";"好的，我們會幫你，{plr_kingdom.king}。不過你可得想想怎麼及時還上這份人情。"
"Diplomacy.Accept.DemandGold.Strong#3";"我們會幫你，不過你自己也要加強財政建設了，{plr_kingdom.king}！"
"Diplomacy.Accept.DemandGold.Weak";"我們會盡力援助你，雖然這筆錢可不是個小數目。"
"Diplomacy.Accept.DemandGold.Weak#2";"我們可能會多向人民收點稅，不過你確實能拿到這筆錢。"
"Diplomacy.Accept.DemandGold.Weak#3";"難道{plr_kingdom}需要財政幫助的時候就沒有更強大的盟友可以求助了嗎？我們這次會幫你，不過這筆錢真讓我們犯難。"
"Diplomacy.Accept.DemandLand.Neutral";"我們會將這個行省劃歸你所有。"
"Diplomacy.Accept.DemandLand.Strong";"我們會取消對這塊地方的控制。希望你能精心治理它。"
"Diplomacy.Accept.DemandLand.Weak";"我們很高興有你這麼英明的君主來統治這個行省。我們會馬上把它交出來。"
"Diplomacy.Accept.DemandAttackKingdom.Neutral";"沒問題！這些蛆蟲也讓我們非常惱火！"
"Diplomacy.Accept.DemandAttackKingdom.Neutral#2";"好的，我們很樂意入侵{offer.arg0}。你是對的，他們已經沒資格繼續存在了。"
"Diplomacy.Accept.DemandAttackKingdom.Neutral#3";"入侵那些{offer.arg0:ians}豬玀的領土？沒問題，我們早就想這麼做了！"
"Diplomacy.Accept.DemandAttackKingdom.Strong";"{plr_kingdom.king}，我們同意進攻{offer.arg0}，為你那不甚廣闊卻值得敬重的王國送上一份人情！"
"Diplomacy.Accept.DemandAttackKingdom.Strong#2";"我們的軍隊馬上就會在路上了。{offer.arg0}將灰飛煙滅！"
"Diplomacy.Accept.DemandAttackKingdom.Weak";"我們很樂意遵照你的願望行事，雖然我們的軍隊不多，但他們會向著{plr_kingdom.king}的敵人進軍！"
"Diplomacy.Accept.DemandAttackKingdom.Weak#2";"{offer.arg0}會在{kingdom}的勇士面前顫抖！拿起武器，將士們！"
"Diplomacy.Accept.InvokeAlliance.Neutral";"我們的軍隊聽候你差遣，{plr_kingdom.king}。我們會進攻！"
"Diplomacy.Accept.InvokeAlliance.Neutral#2";"我們會支援你，{plr_kingdom.king}。我們的力量會摧毀{offer.arg0}！"
"Diplomacy.Accept.InvokeAlliance.Neutral#3";"這種事本該通過外交手段解決。不過我們還是不會讓你失望。"
"Diplomacy.Accept.InvokeAlliance.Neutral#4";"作為你的盟友，我們會滿足你的要求。開戰吧！"
"Diplomacy.Accept.InvokeAlliance.Strong";"你又遇到麻煩了嗎？別擔心，我們會幫你掃蕩{offer.arg0:s}的土地！"
"Diplomacy.Accept.InvokeAlliance.Strong#2";"好主意，{plr_kingdom.king}，我們確實要處理掉這個威脅。我們會馬上派出軍隊。"
"Diplomacy.Accept.InvokeAlliance.Strong#3";"你的外交策略確實沒什麼成效，{plr_kingdom.king}，不過我們還是會與你一起同{offer.arg0}作戰。"
"Diplomacy.Accept.InvokeAlliance.Weak";"按照先前做出的承諾，我們當然不會讓你失望。我們的劍任你指使！"
"Diplomacy.Accept.InvokeAlliance.Weak#2";"是時候向那些蟑螂進軍了！我們想看到他們的城市分崩離析！"
"Diplomacy.Accept.InvokeAlliance.Weak#3";"你確定嗎，{plr_kingdom.king}？我們對此的感覺可不太好，不過我們還是會援助你。"
"Diplomacy.Accept.SummonVassal.Neutral";"我們的軍隊已經準備好在戰爭中盡職了，我主！"
"Diplomacy.Accept.SummonVassal.Neutral#2";"我們非常樂意與{plr_kingdom}的同胞們並肩作戰。"
"Diplomacy.Accept.SummonVassal.Neutral#3";"{plr_kingdom}的敵人就是{kingdom}的敵人！我們準備好作戰了！"
"Diplomacy.Accept.AskForProtection.Neutral";"沒問題，我們會援助你。{kingdom}可不會在一旁坐視{plr_kingdom}被顛覆！"
"Diplomacy.Accept.AskForProtection.Neutral#2";"這些篡位者可是整個歐洲的威脅。他們需要被制裁！我們會向你送來幫助。"
"Diplomacy.Accept.AskForProtection.Neutral#3";"我們早就聽到了入侵的訊息，{plr_kingdom}。我們會馬上向被入侵的{plr_kingdom}派出軍隊。"
"Diplomacy.Accept.AskForProtection.Strong";"什麼？{offer.target}居然敢騷擾你？他們會為此後悔的！"
"Diplomacy.Accept.AskForProtection.Strong#2";"別擔心，我們會一起把他們趕回去！"
"Diplomacy.Accept.AskForProtection.Weak";"我們會嘗試幫助你，{plr_kingdom.king}。"
"Diplomacy.Accept.AskForProtection.Weak#2";"你可以依靠我們的幫助，{plr_kingdom.king}。唇亡齒寒，如果{plr_kingdom}沒了，{kingdom}也會緊隨其後。"
"Diplomacy.Accept.AskForLoan.Neutral";"我們可以提供金錢，不過有借就要有還：你可得第一時間把它們還清。"
"Diplomacy.Accept.AskForLoan.Neutral#2";"啊哈，又破產了嗎，{plr_kingdom.king}？看來財政不是你的特長。不過我們還是會幫助朋友的。"
"Diplomacy.Accept.AskForLoan.Neutral#3";"別擔心，我們會給你錢。不過你可得記住，這是貸款，而不是捐贈！"
